variant_name,prompt_variant,model_variant,model_variant_type,checkpoint_name,prompt,use_en_prompt,sample_folder,sample_id,sample_id_str,split,sample_dir,multi_layer_overlap_fraction,mean_pairwise_overlap_fraction,composite_rgb_mae,composite_rgb_psnr
base_model,default,base_model,base,,,,01647,1647,01647,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/01647,0.93328125,0.33202311197916673,0.02192518301308155,26.072728445378857
base_model,default,base_model,base,,,,01776,1776,01776,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/01776,1.0,0.36557617187499997,0.020528754219412804,30.621518141475562
base_model,default,base_model,base,,,,01933,1933,01933,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/01933,1.0,0.79880859375,0.013434882275760174,34.77917337459085
base_model,default,base_model,base,,,,02130,2130,02130,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/02130,0.53718017578125,0.2730314127604167,0.01273694634437561,34.15364824238552
base_model,default,base_model,base,,,,02257,2257,02257,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/02257,1.0,1.0,0.010951339267194271,35.570005159484154
base_model,default,base_model,base,,,,02406,2406,02406,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/02406,1.0,0.3333333333333333,0.015326706692576408,34.6207334350236
base_model,default,base_model,base,,,,02565,2565,02565,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/02565,1.0,0.48706542968749994,0.023557236418128014,29.284909499187542
base_model,default,base_model,base,,,,02739,2739,02739,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/02739,1.0,0.3333333333333333,0.011398464441299438,36.54708366252828
base_model,default,base_model,base,,,,02912,2912,02912,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/02912,1.0,0.45087890625,0.011043799109756947,36.77336141626086
base_model,default,base_model,base,,,,03102,3102,03102,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/03102,0.997333984375,0.36091796875,0.012707275338470936,33.985140485944996
base_model,default,base_model,base,,,,03278,3278,03278,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/03278,0.996005859375,0.5132861328125,0.01255490817129612,33.34370142061534
base_model,default,base_model,base,,,,03437,3437,03437,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/03437,1.0,0.34767903645833337,0.009499533101916313,38.18476240322029
base_model,default,base_model,base,,,,03581,3581,03581,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/03581,1.0,0.3333333333333333,0.009062659926712513,38.545115826525375
base_model,default,base_model,base,,,,03725,3725,03725,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/03725,0.0,0.0,0.015772458165884018,34.385032094363176
base_model,default,base_model,base,,,,03849,3849,03849,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/03849,1.0,0.33576822916666665,0.014356356114149094,34.42796239542076
base_model,default,base_model,base,,,,04066,4066,04066,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/04066,0.569296875,0.21530110677083333,0.012936461716890335,35.14826013790922
base_model,default,base_model,base,,,,04225,4225,04225,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/04225,0.77218505859375,0.25739501953125,0.011951718479394913,35.28669071849166
base_model,default,base_model,base,,,,04337,4337,04337,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/04337,0.0,0.0,0.014783375896513462,34.967090298791334
base_model,default,base_model,base,,,,04544,4544,04544,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/04544,0.0307568359375,0.010252278645833333,0.017668290063738823,32.2435323308754
base_model,default,base_model,base,,,,04695,4695,04695,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/04695,1.0,0.3333333333333333,0.012949780561029911,34.91587272127169
base_model,default,base_model,base,,,,04854,4854,04854,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/04854,1.0,0.36744954427083326,0.017529815435409546,30.96414895901244
base_model,default,base_model,base,,,,04999,4999,04999,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/base_model/04999,0.99936767578125,0.8056778971354167,0.012221435084939003,33.15808117480297
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,00003,3,00003,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/00003,0.82480712890625,0.27493570963541664,0.01013523805886507,37.28246208912677
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,00169,169,00169,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/00169,0.0,0.0,0.010208215564489365,37.60798597055975
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,00361,361,00361,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/00361,1.0,0.48766601562500006,0.008682876825332642,38.43841229280366
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,00504,504,00504,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/00504,0.11841064453125,0.04928466796875,0.014798436313867569,34.25154118671044
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,00683,683,00683,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/00683,1.0,0.3498860677083333,0.020262256264686584,28.62998366379879
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,00867,867,00867,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/00867,0.99339111328125,0.4597420247395834,0.01701628603041172,30.170872902210984
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,01022,1022,01022,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/01022,1.0,0.3333333333333333,0.014187639579176903,34.772556647459496
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,01187,1187,01187,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/01187,1.0,0.3333333333333333,0.010247443802654743,37.09156588762238
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,01324,1324,01324,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/01324,1.0,0.8393847656250001,0.015467769466340542,33.147736153730854
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,01455,1455,01455,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/01455,1.0,0.45470214843750006,0.014558609575033188,34.07151234165879
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,01647,1647,01647,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/01647,0.9645703125,0.34455240885416666,0.019737783819437027,28.91017439778267
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,01776,1776,01776,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/01776,1.0,0.3677783203125,0.020474541932344437,30.55642618527375
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,01933,1933,01933,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/01933,1.0,0.7988118489583332,0.013539262115955353,34.70310672528596
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,02130,2130,02130,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/02130,0.53562744140625,0.2728670247395833,0.01280632521957159,33.78283291133773
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,02257,2257,02257,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/02257,1.0,1.0,0.010323665104806423,36.03093655616398
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,02406,2406,02406,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/02406,1.0,0.3333333333333333,0.01463891938328743,34.96375587256286
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,02565,2565,02565,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/02565,1.0,0.48726725260416676,0.024025265127420425,29.266546412575536
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,02739,2739,02739,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/02739,1.0,0.3333333333333333,0.011327292770147324,36.624349619341835
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,02912,2912,02912,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/02912,1.0,0.48446777343749997,0.011101001873612404,36.76094968491488
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,03102,3102,03102,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/03102,0.9980224609375,0.3498876953125,0.012944732792675495,34.46200845621989
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,03278,3278,03278,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/03278,0.99625244140625,0.8003946940104166,0.013058017939329147,34.072410688034665
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,03437,3437,03437,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/03437,1.0,0.34953776041666673,0.009655829519033432,38.05531175666977
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,03581,3581,03581,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/03581,1.0,0.3333333333333333,0.008806979283690453,38.82849494879738
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,03725,3725,03725,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/03725,0.53220458984375,0.17740152994791666,0.01686868630349636,33.518888075142506
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,03849,3849,03849,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/03849,1.0,0.33575358072916667,0.014054177328944206,34.605366828416
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,04066,4066,04066,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/04066,0.56923583984375,0.18974527994791668,0.013166394084692001,34.98781358637367
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,04225,4225,04225,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/04225,0.75479736328125,0.25159912109375,0.011825565248727798,35.25646716505102
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,04337,4337,04337,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/04337,0.0,0.0,0.014210470952093601,35.346299443537426
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,04544,4544,04544,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/04544,0.0297705078125,0.009923502604166667,0.017315194010734558,32.423310750655276
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,04695,4695,04695,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/04695,1.0,0.3333333333333333,0.012724402360618114,35.091953736410446
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,04854,4854,04854,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/04854,1.0,0.36944824218750005,0.01692894659936428,31.315645618490407
checkpoint_50,default,checkpoint_50,lora,checkpoint-50,,,04999,4999,04999,test,/content/qwen_layered_lora_bghairface_5k_default_call_32_compare/checkpoint_50/04999,0.99950439453125,0.79919677734375,0.011447597295045853,33.636121730004994
